15:59:59.022 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'UNEXPECTEDALERTBEHAVIOR' has been set to 'dismiss'
15:59:59.034 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'LOGGINGPREFS' has been set to 'all'
15:59:59.034 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'PLATFORM' has been set to 'any'
15:59:59.035 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'CHROMEDRIVEREXECUTABLE' has been set to '/Users/yodaqua/ks-test-automation/project-lib/webdriverfactory/target/test-classes/chromedrivermac64'
15:59:59.035 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'ACCEPTSSLCERTS' has been set to 'true'
15:59:59.035 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'BROWSER' has been set to 'chrome'
15:59:59.035 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'WEBSTORAGEENABLED' has been set to 'true'
15:59:59.035 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'TAKESSCREENSHOT' has been set to 'true'
15:59:59.035 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'JAVASCRIPTENABLED' has been set to 'true'
15:59:59.035 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'PAGELOADINGSTRATEGY' has been set to 'normal'
15:59:59.035 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'APPLICATIONCACHEENABLED' has been set to 'true'
15:59:59.035 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'ROTATABLE' has been set to 'false'
15:59:59.036 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'CHROMEPREFERENCES' has been set to '{profile.password_manager_enabled=false}'
15:59:59.036 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'DATABASEENABLED' has been set to 'true'
15:59:59.036 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'HANDLESALERTS' has been set to 'true'
15:59:59.036 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'VERSION' has been set to 'any'
15:59:59.036 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'BROWSERCONNECTIONENABLED' has been set to 'true'
15:59:59.036 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'PROXY' has been set to 'UseSystemSettings'
15:59:59.036 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'NATIVEEVENTS' has been set to 'true'
15:59:59.036 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'CHROME.SWITCHES' has been set to '[--no-default-browser-check]'
15:59:59.037 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'ELEMENTSCROLLBEHAVIOR' has been set to '0'
15:59:59.037 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'ACCEPTSSLCERTS' has been set to 'true'
15:59:59.037 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'LOCATIONCONTEXTENABLED' has been set to 'true'
15:59:59.038 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'CHROMEOPTIONS' has been set to 'org.openqa.selenium.chrome.ChromeOptions@4a028714'
15:59:59.038 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'CSSSELECTORSENABLED' has been set to 'true'
15:59:59.038 [main] INFO  com.kineticskunk.driverfactory.DriverFactory - Current Operating System: MAC OS X
15:59:59.038 [main] INFO  com.kineticskunk.driverfactory.DriverFactory - Current Architecture: x86_64
15:59:59.038 [main] INFO  com.kineticskunk.driverfactory.DriverFactory - Current Browser Selection: CHROME
16:04:03.763 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'UNEXPECTEDALERTBEHAVIOR' has been set to 'dismiss'
16:04:03.765 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'LOGGINGPREFS' has been set to 'all'
16:04:03.765 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'PLATFORM' has been set to 'any'
16:04:03.765 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'CHROMEDRIVEREXECUTABLE' has been set to '/Users/yodaqua/ks-test-automation/project-lib/webdriverfactory/target/test-classes/chromedrivermac64'
16:04:03.765 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'ACCEPTSSLCERTS' has been set to 'true'
16:04:03.766 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'BROWSER' has been set to 'chrome'
16:04:03.766 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'WEBSTORAGEENABLED' has been set to 'true'
16:04:03.766 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'TAKESSCREENSHOT' has been set to 'true'
16:04:03.766 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'JAVASCRIPTENABLED' has been set to 'true'
16:04:03.766 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'PAGELOADINGSTRATEGY' has been set to 'normal'
16:04:03.766 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'APPLICATIONCACHEENABLED' has been set to 'true'
16:04:03.766 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'ROTATABLE' has been set to 'false'
16:04:03.766 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'CHROMEPREFERENCES' has been set to '{profile.password_manager_enabled=false}'
16:04:03.766 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'DATABASEENABLED' has been set to 'true'
16:04:03.766 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'HANDLESALERTS' has been set to 'true'
16:04:03.767 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'VERSION' has been set to 'any'
16:04:03.767 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'BROWSERCONNECTIONENABLED' has been set to 'true'
16:04:03.767 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'PROXY' has been set to 'UseSystemSettings'
16:04:03.767 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'NATIVEEVENTS' has been set to 'true'
16:04:03.767 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'CHROME.SWITCHES' has been set to '[--no-default-browser-check]'
16:04:03.767 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'ELEMENTSCROLLBEHAVIOR' has been set to '0'
16:04:03.767 [main] INFO  com.kineticskunk.chrome.SetChromeDriverDesiredCapabilities - Capability type 'ACCEPTSSLCERTS' has been set to 'true'
